created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 15 13:13:01 +0000 2023;1724777524281180405;"Me couldn't see @charlieputh concert in Jakarta : so sad,couldn't listen for his songs on Spotify at all for weeks,couldn't concentrate,sick, GERD🥲.  Me couldn't see @coldplay concert in Jakarta: a little sad, but okay.. that's fine...  *waiting for live report*🙂  I like them.";0;0;0;0;en;1214465101614370817;1724777524281180405;vinaverdemusic;https://twitter.com/vinaverdemusic/status/1724777524281180405
Wed Nov 15 13:12:47 +0000 2023;1724777468194906391;"im so tempted to buy coldplay concert tix...";0;0;0;1;en;1459766114498461698;1724777468194906391;H4KNYANCAT;https://twitter.com/H4KNYANCAT/status/1724777468194906391
Wed Nov 15 13:09:09 +0000 2023;1724776550485328281;"enjoy the concert, coldplay!";0;0;0;0;en;753048439;1724776550485328281;astinfdh;https://twitter.com/astinfdh/status/1724776550485328281
Wed Nov 15 13:06:28 +0000 2023;1724775876754014419;"Coldplay Concert India 2024 Tickets Price, Booking, Dates for Asia Tour https://t.co/NYZwQdotVk";0;0;0;0;en;1715642958228189184;1724775876754014419;Sarkarijob42166;https://twitter.com/Sarkarijob42166/status/1724775876754014419
Wed Nov 15 13:05:34 +0000 2023;1724775648852639753;"all these one time performances that will never happen again since hobipalooza and i have not been to a single one 😭😭 jin with coldplay, joon's indigo concert, promotion performances on talk shows/music shows, not even yoongi's tour 😭😭😭😭😭😭";0;1;0;2;en;810052284637966336;1724775648852639753;snowtannies;https://twitter.com/snowtannies/status/1724775648852639753
Wed Nov 15 13:05:06 +0000 2023;1724775532519420385;"Kaohsiung fines 4 hotels for raising rates during Coldplay’s Taiwan concerts | Taiwan News | 2023-11-11 16:07:00 https://t.co/1mVAUJFJyT";0;0;0;0;en;843625151304355840;1724775532519420385;zhufngwu;https://twitter.com/zhufngwu/status/1724775532519420385
Wed Nov 15 13:03:47 +0000 2023;1724775202285084772;"Gak nonton Coldplay malam ini gapapa tapi tetep senang liat teman-teman yg nonton pada excited. 🥰  Enjoy the show! Hope you had a magical night and hope it makes the best concert you've ever been to like it did to me! 💫✨️ https://t.co/50zQmdqG0I";0;0;0;3;en;51967078;1724775202285084772;setyaoctaa;https://twitter.com/setyaoctaa/status/1724775202285084772
Wed Nov 15 13:00:08 +0000 2023;1724774283677766107;"Conservative Muslims in Indonesia protest Coldplay concert over the band's LGBTQ+ support https://t.co/lBZ0oxmMXz";0;1;0;0;en;15689607;1724774283677766107;springfieldnews;https://twitter.com/springfieldnews/status/1724774283677766107
Wed Nov 15 12:57:56 +0000 2023;1724773731367849998;"Are you ready for the concert of the year?! Prepare yourself for Coldplay: Music Of The Spheres World Tour 👽  Head on over to our IG and FB to check out the event guide to ensure you have a smooth experience!  For the Full Event Guide head to https://t.co/V1UlLiw9Or 🪐 https://t.co/Atsgq2cI9L";1;0;8;10;en;94045784;1724773731367849998;PRWorldwide;https://twitter.com/PRWorldwide/status/1724773731367849998
Wed Nov 15 12:57:03 +0000 2023;1724773505403924608;"Are you ready for the concert of the year?! Prepare yourself for Coldplay: Music Of The Spheres World Tour 👽  Head on over to our IG and FB to check out the event guide to ensure you have a smooth experience!  For the Full Event Guide head to https://t.co/RaPrN8itSP 🪐 https://t.co/B0WanLSBy6";49;17;238;368;en;1219179608114782209;1724773505403924608;livenationmy;https://twitter.com/livenationmy/status/1724773505403924608
Wed Nov 15 12:51:53 +0000 2023;1724772206805393721;"anyone jual coldplay concert ticket cat 5 or 6? #ColdplayKL";0;0;0;0;en;1513897888945868809;1724772206805393721;m0ik0;https://twitter.com/m0ik0/status/1724772206805393721
Wed Nov 15 12:50:53 +0000 2023;1724771954631319930;"I think about how my coldplay concert is the day before 127 in bulacan like pleeeeeeaargrhtbghnrnenenamrm MARKKKKKKKKKK… FLY IN 2 DAYS EARLIER PLEASE GO WITH MEEEEEENRNTNTE";0;0;0;1;en;1410902271118872578;1724771954631319930;chaehyunhaechan;https://twitter.com/chaehyunhaechan/status/1724771954631319930
